          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
             94;       0.058655;        0.95392;        0.94528;        0.91099;        0.83949;
             95;       0.047742;        0.95616;        0.94679;        0.91545;        0.84472;
             96;       0.044682;        0.95626;        0.94493;         0.9171;        0.84468;
             97;       0.043887;         0.9567;        0.94865;        0.91651;        0.84721;
             98;       0.043419;        0.95629;         0.9451;        0.91511;        0.84514;
             99;       0.043219;        0.95724;        0.94806;        0.91969;        0.84719;
            100;       0.043084;        0.95574;        0.94727;        0.91356;         0.8449;
            101;       0.043066;        0.95677;        0.94687;        0.91783;        0.84581;
            102;       0.042964;        0.95664;        0.94773;        0.91642;        0.84699;
            103;       0.043041;        0.95675;        0.94715;        0.91668;        0.84598;
            104;        0.04308;        0.95659;        0.94747;        0.91641;        0.84633;
            105;        0.04286;        0.95624;        0.94665;        0.91517;        0.84709;
            106;        0.04296;        0.95701;        0.94926;        0.91881;        0.84794;
            107;       0.042691;        0.95683;        0.94782;        0.91731;        0.84737;
            108;       0.043653;        0.95684;        0.94708;        0.91699;        0.84714;
            109;        0.04254;        0.95651;        0.94778;        0.91609;        0.84683;
            110;        0.04243;        0.95654;         0.9479;        0.91573;        0.84775;
            111;       0.042384;         0.9571;        0.94979;        0.91711;        0.85018;
            112;       0.042277;        0.95666;        0.94808;        0.91567;        0.84766;
            113;       0.042445;        0.95676;        0.94606;        0.91709;        0.84581;
            114;       0.042132;        0.95715;        0.94805;        0.91848;        0.84901;
            115;        0.04193;        0.95714;        0.94686;        0.91837;        0.84652;
            116;       0.041802;        0.95725;        0.94753;         0.9196;        0.84788;
            117;        0.04175;        0.95663;        0.94818;        0.91672;         0.8486;
            118;         0.0417;        0.95655;        0.94286;        0.91834;          0.844;
            119;       0.047068;        0.95454;        0.94433;        0.91088;        0.84143;
            120;       0.043749;        0.95698;        0.94574;        0.91773;        0.84702;
            121;       0.041929;        0.95635;          0.944;        0.91587;         0.8458;
            122;       0.041386;          0.957;         0.9482;        0.91716;        0.84842;
            123;       0.041094;        0.95692;        0.94906;        0.91722;        0.84871;
            124;       0.040977;        0.95754;        0.94829;        0.92041;        0.84914;
            125;       0.040895;        0.95713;        0.94869;        0.91759;         0.8484;
            126;       0.040884;        0.95661;        0.94707;        0.91638;        0.84741;
            127;       0.040783;        0.95713;        0.94747;          0.918;         0.8477;
            128;       0.040899;        0.95686;        0.94858;        0.91645;         0.8487;
            129;       0.040824;        0.95685;        0.94773;        0.91659;        0.84806;
            130;       0.040742;        0.95662;        0.94761;        0.91592;        0.84792;
            131;       0.040813;        0.95729;        0.94579;         0.9191;        0.84706;
            132;       0.040766;        0.95718;        0.94719;         0.9177;        0.84909;
            133;       0.040692;        0.95693;        0.94836;        0.91648;          0.849;
            134;       0.041145;        0.95699;        0.94605;        0.91858;        0.84815;
            135;       0.040767;        0.95648;        0.94787;        0.91619;        0.84649;
            136;       0.040631;        0.95702;        0.94645;        0.91761;        0.84746;
            137;       0.040593;         0.9574;        0.94865;        0.91871;        0.84897;
            138;       0.040583;        0.95722;        0.94732;        0.91787;        0.84857;
